exposure	outcome	group	adjusted	method	b	se	pval
svldlcpct	Endometrial cancer	WHRadjBMI_svldlcpct	WHRadjBMI	Multivariable MR	0.0286877336809959	0.100325373246306	0.775097630772465
WHRadjBMI	endometrioid_cancer	WHRadjBMI_svldlcpct	svldlcpct	Multivariable MR	-0.0762945049730799	0.104558437342738	0.466100082290337
svldlcpct	endometrioid_cancer	WHRadjBMI_svldlcpct	WHRadjBMI	Multivariable MR	0.100805699594762	0.113969129524072	0.377068374676771
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_svldlcpct	svldlcpct	Multivariable MR	0.119928890863424	0.225109091182728	0.59456450241145
svldlcpct	non_endometrioid_cancer	WHRadjBMI_svldlcpct	WHRadjBMI	Multivariable MR	-0.387063037410894	0.248089050286383	0.119691063193635
WHRadjBMI	Endometrial cancer	WHRadjBMI_svldltg	svldltg	Multivariable MR	0.00251128060762191	0.0930808061427327	0.978492431887777
svldltg	Endometrial cancer	WHRadjBMI_svldltg	WHRadjBMI	Multivariable MR	0.0713701927052193	0.0873848300871301	0.414673049150743
WHRadjBMI	endometrioid_cancer	WHRadjBMI_svldltg	svldltg	Multivariable MR	-0.0471855492209892	0.105449357546384	0.654830252611473
svldltg	endometrioid_cancer	WHRadjBMI_svldltg	WHRadjBMI	Multivariable MR	-0.00950482213457242	0.0995640004003246	0.924004225669621
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_svldltg	svldltg	Multivariable MR	-0.0262420421338437	0.229685181256999	0.909108622886406
svldltg	non_endometrioid_cancer	WHRadjBMI_svldltg	WHRadjBMI	Multivariable MR	0.673067753407487	0.213443747464636	0.00176501084724118
WHRadjBMI	Endometrial cancer	WHRadjBMI_svldltgpct	svldltgpct	Multivariable MR	-0.0218468624211103	0.0921203314562214	0.81268182706811
svldltgpct	Endometrial cancer	WHRadjBMI_svldltgpct	WHRadjBMI	Multivariable MR	0.0319936847637207	0.0998350140251772	0.748816425685794
WHRadjBMI	endometrioid_cancer	WHRadjBMI_svldltgpct	svldltgpct	Multivariable MR	-0.0848845156633936	0.104650481191639	0.417873824562148
svldltgpct	endometrioid_cancer	WHRadjBMI_svldltgpct	WHRadjBMI	Multivariable MR	-0.114432709831869	0.11358029517604	0.314423698199336
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_svldltgpct	svldltgpct	Multivariable MR	0.0716779488487804	0.223890057448624	0.749060624746662
svldltgpct	non_endometrioid_cancer	WHRadjBMI_svldltgpct	WHRadjBMI	Multivariable MR	0.599481404268758	0.245068295493595	0.0149643092252639
WHRadjBMI	Endometrial cancer	WHRadjBMI_xsvldlc	xsvldlc	Multivariable MR	-0.0364325817154117	0.0885850928074594	0.681139946499855
xsvldlc	Endometrial cancer	WHRadjBMI_xsvldlc	WHRadjBMI	Multivariable MR	0.162351319284403	0.125738604109441	0.197544584192277
WHRadjBMI	endometrioid_cancer	WHRadjBMI_xsvldlc	xsvldlc	Multivariable MR	-0.106596506852277	0.101055817720444	0.292275653070371
xsvldlc	endometrioid_cancer	WHRadjBMI_xsvldlc	WHRadjBMI	Multivariable MR	0.126082752106225	0.143375794704099	0.379831593377219
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_xsvldlc	xsvldlc	Multivariable MR	0.221456553728857	0.215916165070753	0.305817050578995
xsvldlc	non_endometrioid_cancer	WHRadjBMI_xsvldlc	WHRadjBMI	Multivariable MR	0.000719733671916832	0.309321577846821	0.998144904937768
WHRadjBMI	Endometrial cancer	WHRadjBMI_xsvldlcepct	xsvldlcepct	Multivariable MR	-0.00810430380976351	0.0952424214506855	0.932241504597741
xsvldlcepct	Endometrial cancer	WHRadjBMI_xsvldlcepct	WHRadjBMI	Multivariable MR	-0.0920653668777575	0.097102915784493	0.343776383774911
WHRadjBMI	endometrioid_cancer	WHRadjBMI_xsvldlcepct	xsvldlcepct	Multivariable MR	-0.0667478134679736	0.107819431335611	0.536306389800417
xsvldlcepct	endometrioid_cancer	WHRadjBMI_xsvldlcepct	WHRadjBMI	Multivariable MR	-0.00526979031306208	0.110228894935309	0.961899043365477
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_xsvldlcepct	xsvldlcepct	Multivariable MR	0.0148650813438388	0.23533454293944	0.949674208051565
xsvldlcepct	non_endometrioid_cancer	WHRadjBMI_xsvldlcepct	WHRadjBMI	Multivariable MR	-0.775607027979317	0.245564072712465	0.00173823570132129
WHRadjBMI	Endometrial cancer	WHRadjBMI_xsvldlplpct	xsvldlplpct	Multivariable MR	0.0119852333842996	0.0923361807375325	0.896805984717751
xsvldlplpct	Endometrial cancer	WHRadjBMI_xsvldlplpct	WHRadjBMI	Multivariable MR	0.086055314567117	0.11382226766107	0.450173740905239
WHRadjBMI	endometrioid_cancer	WHRadjBMI_xsvldlplpct	xsvldlplpct	Multivariable MR	-0.03655257519538	0.105708491603298	0.729729637632781
xsvldlplpct	endometrioid_cancer	WHRadjBMI_xsvldlplpct	WHRadjBMI	Multivariable MR	0.0311563126013156	0.130856232740638	0.811958742871272
WHRadjBMI	non_endometrioid_cancer	WHRadjBMI_xsvldlplpct	xsvldlplpct	Multivariable MR	0.112569614587439	0.216354369195609	0.603216271344812
xsvldlplpct	non_endometrioid_cancer	WHRadjBMI_xsvldlplpct	WHRadjBMI	Multivariable MR	0.556887855078984	0.264930608111926	0.0363407008842506
