exposure	outcome	kettunen_b	kettunen_se	kettunen_p	interval_b	interval_se	interval_p	meta_p	observational_b	observational_se	observational_p	UKB_b	UKB_se	UKB_p	meta_direction	metabolite	ng_anno_label	INTERVAL_label	UKB_label	ng_anno_raw.label	ng_anno_class	ng_anno_subclass	ng_anno_label.no.units	ng_anno_derived
bmi	Mean diameter for HDL particles (nm)	-0.0947962994698548	0.0194122853892578	1.04317156495256e-06	-0.104604120514125	0.0149158391910657	2.33335233943974e-12	1.01153248296339e-16	-0.0889992942346189	0.00367259666586761	4.66645652564187e-120	-0.198091047586448	0.0524633546783335	0.00015949599275893	- - - - -	hdlsize	hdld	hdld	hdlsize	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particles size	no
bmi	Total cholesterol in large HDL (mmol/l)	-0.118886128825536	0.019338253365274	7.86056106583508e-10	-0.0630279653535065	0.0136053142851403	3.61103559292097e-06	9.79146940972958e-14	-0.0664922913156549	0.00281239213723412	9.01495298554852e-115	-0.218459913750199	0.0529029418061876	3.6363623337945e-05	- - - - -	lhdlc	lhdlc	lhdlc	lhdlc	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol	no
bmi	Cholesterol esters in large HDL (mmol/l)	-0.119067418140702	0.0197286713716271	1.58719052765492e-09	-0.0630279653535065	0.0136053142851403	3.61103559292097e-06	1.93680197665251e-13	-0.050652946901828	0.00215017897168272	5.10956332615613e-114	-0.217849363629952	0.0530501752466878	4.01738161178205e-05	- - - - -	lhdlce	lhdlce	lhdlce	lhdlce	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters	no
bmi	Free cholesterol in large HDL (mmol/l)	-0.117232566169072	0.0193202068001995	1.29615125010783e-09	-0.103874495111671	0.0143487178761938	4.51047717655262e-13	2.91676197193517e-20	-0.0158520340307768	0.00066381869378841	6.94050938817372e-117	-0.215784749678527	0.0520096489301131	3.34022912148019e-05	- - - - -	lhdlfc	lhdlfc	lhdlfc	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol	no
bmi	Total lipids in large HDL (mmol/l)	-0.116785827294209	0.0198869685847816	4.29323252954244e-09	-0.0982207960251421	0.0150759720659243	7.26627451311418e-11	1.36049334607829e-17	-0.116948268757949	0.00519857612945334	8.74806302406574e-105	-0.211084093091993	0.052489900738063	5.78476227718027e-05	- - - - -	lhdll	lhdll	lhdll	lhdll	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids	no
bmi	Total cholesterol in medium HDL (mmol/l)	-0.070904826692456	0.0179482860704551	7.79858725355653e-05	-0.0598814191727757	0.0133395102365278	7.15492908336352e-06	1.24467635244261e-08	-0.00742459073941548	0.00138331149676297	8.5143430723645e-08	-0.160569596375992	0.049196884277567	0.00109922383069999	- - - - -	mhdlc	mhdlc	mhdlc	mhdlc	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol	no
bmi	Cholesterol esters in medium HDL (mmol/l)	-0.074988822950966	0.0182760789497796	4.07627469946269e-05	-0.0598814191727757	0.0133395102365278	7.15492908336352e-06	6.69506205667168e-09	-0.00617568673615976	0.00109945907694131	2.0943878714601e-08	-0.156885660691411	0.0495055555869809	0.00152937234922308	- - - - -	mhdlce	mhdlce	mhdlce	mhdlce	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters	no
bmi	Free cholesterol in medium HDL (mmol/l)	-0.0635927639249573	0.0177772560630323	0.00034729717371153	-0.0665472819185414	0.0137432638678118	1.28425900119757e-06	1.00491134747605e-08	-0.0012617405429434	0.000300067139603637	2.67786529239703e-05	-0.170506016569735	0.0474893912151574	0.000330168048726258	- - - - -	mhdlfc	mhdlfc	mhdlfc	mhdlfc	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol	no
bmi	Total lipids in medium HDL (mmol/l)	-0.0493575342476396	0.0177364111372644	0.00538859354559375	-0.0448118391729167	0.0137398559270253	0.00110844375648291	7.78172375416544e-05	-0.00430455664002887	0.00262121598674469	0.100638785623226	-0.139491863976677	0.0490933797445723	0.00449218620406652	- - - - -	mhdll	mhdll	mhdll	mhdll	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids	no
bmi	Free cholesterol in very large HDL (mmol/l)	-0.0699260852865778	0.0179730324538584	9.99919504031143e-05	-0.0657904492097055	0.0131217508088084	5.33524527254886e-07	1.31525518046233e-09	-0.00942562298164529	0.000457398150758633	3.81865144715585e-89	-0.197133192618294	0.0530895388291021	0.000204638007027072	- - - - -	xlhdlfc	xlhdlfc	xlhdlfc	xlhdlfc	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol	no
